Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2013-14,24,LAC,80.0,24.1,9.5,3.9,0.715,0.533,22.4,0.572,0.525,Yes
2014-15,25,LAC,67.0,21.9,7.6,5.3,0.728,0.506,23.9,0.583,0.5357,Yes
2015-16,26,LAC,35.0,21.4,8.4,4.9,0.727,0.504,22.8,0.551,0.4891,Yes
