Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2009-10,21,GSW,80.0,17.5,4.5,5.9,0.885,0.535,16.3,0.568,0.1768,
2010-11,22,GSW,74.0,18.6,3.9,5.8,0.934,0.551,19.4,0.595,0.233,
2011-12,23,GSW,26.0,14.7,3.4,5.3,0.809,0.583,21.2,0.605,0.1454,
2012-13,24,GSW,78.0,22.9,4.0,6.9,0.9,0.549,21.3,0.589,0.2871,
2013-14,25,GSW,78.0,24.0,4.3,8.5,0.885,0.566,24.1,0.61,0.3958,
2014-15,26,GSW,80.0,23.8,4.3,7.7,0.914,0.594,28.0,0.638,0.453,
2015-16,27,GSW,79.0,30.1,5.4,6.7,0.908,0.63,31.5,0.669,0.5831,Yes
2016-17,28,GSW,79.0,25.3,4.5,6.6,0.898,0.58,24.6,0.624,0.3868,Yes
2017-18,29,GSW,51.0,26.4,5.1,6.1,0.921,0.618,28.2,0.675,0.5097,Yes
2018-19,30,GSW,69.0,27.3,5.3,5.2,0.916,0.604,24.4,0.641,0.4318,
2019-20,31,GSW,5.0,20.8,5.2,6.6,1.0,0.476,21.7,0.557,0.2994,
2020-21,32,GSW,16.0,27.9,5.6,6.2,0.926,0.557,23.0,0.614,0.4223,
