Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2015-16,27,GSW,79.0,30.1,5.4,6.7,0.908,0.63,31.5,0.669,0.5874,Yes
2016-17,28,GSW,79.0,25.3,4.5,6.6,0.898,0.58,24.6,0.624,0.3892,Yes
2017-18,29,GSW,51.0,26.4,5.1,6.1,0.921,0.618,28.2,0.675,0.5133,Yes
