Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2007-08,22,NOH,80.0,21.1,4.0,11.6,0.851,0.524,28.3,0.576,0.4351,Yes
2008-09,23,NOH,78.0,22.8,5.5,11.0,0.868,0.528,30.0,0.599,0.5751,Yes
2009-10,24,NOH,45.0,18.7,4.2,10.7,0.847,0.534,23.7,0.584,0.3831,Yes
