Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2017-18,23,MIL,75.0,26.9,10.0,4.8,0.76,0.545,27.3,0.598,0.5186,Yes
2018-19,24,MIL,72.0,27.7,12.5,5.9,0.729,0.599,30.9,0.644,0.6534,Yes
2019-20,25,MIL,63.0,29.5,13.6,5.6,0.633,0.589,31.9,0.613,0.5873,Yes
