Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2013-14,19,MIL,77.0,6.8,4.4,1.9,0.683,0.463,10.8,0.518,0.053,
2014-15,20,MIL,81.0,12.7,6.7,2.6,0.741,0.496,14.8,0.552,0.223,
2015-16,21,MIL,80.0,16.9,7.7,4.3,0.724,0.52,18.8,0.566,0.3334,
2016-17,22,MIL,80.0,22.9,8.8,5.4,0.77,0.541,26.1,0.599,0.5004,
2017-18,23,MIL,75.0,26.9,10.0,4.8,0.76,0.545,27.3,0.598,0.5185,Yes
2018-19,24,MIL,72.0,27.7,12.5,5.9,0.729,0.599,30.9,0.644,0.6532,Yes
2019-20,25,MIL,63.0,29.5,13.6,5.6,0.633,0.589,31.9,0.613,0.5865,Yes
2020-21,26,MIL,15.0,27.0,10.5,5.3,0.585,0.584,26.1,0.6,0.4669,
