Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2015-16,27,OKC,72.0,28.2,8.2,5.0,0.898,0.573,28.2,0.634,0.5865,Yes
2016-17,28,GSW,62.0,25.1,8.3,4.8,0.875,0.594,27.6,0.651,0.5351,Yes
2017-18,29,GSW,68.0,26.4,6.8,5.4,0.889,0.586,26.0,0.64,0.5269,Yes
