Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2012-13,19,NOH,64.0,13.5,8.2,1.0,0.751,0.516,21.7,0.559,0.0307,
2013-14,20,NOP,67.0,20.8,10.0,1.6,0.791,0.52,26.5,0.582,0.2864,
2014-15,21,NOP,68.0,24.4,10.2,2.2,0.805,0.536,30.8,0.591,0.4401,
2015-16,22,NOP,61.0,24.3,10.3,1.9,0.758,0.508,25.0,0.559,0.22,
2016-17,23,NOP,75.0,28.0,11.8,2.1,0.802,0.518,27.5,0.58,0.4137,
2017-18,24,NOP,75.0,28.1,11.1,2.3,0.828,0.552,28.9,0.612,0.5579,Yes
2018-19,25,NOP,56.0,25.9,12.0,3.9,0.794,0.54,30.3,0.597,0.5593,Yes
2019-20,26,LAL,62.0,26.1,9.3,3.2,0.846,0.536,27.4,0.61,0.4966,Yes
2020-21,27,LAL,15.0,22.1,8.8,3.5,0.731,0.568,26.1,0.601,0.3885,
