Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2018-19,29,HOU,78.0,36.1,6.6,7.5,0.879,0.541,30.6,0.616,0.5389,Yes
2019-20,30,HOU,68.0,34.3,6.6,7.5,0.865,0.543,29.1,0.626,0.5155,Yes
2020-21,31,TOT,15.0,24.5,6.2,11.1,0.876,0.547,22.8,0.623,0.4838,Yes
